T_22,,,,
Ausländeranteil und Bevölkerung,,,,
"nach Herkunft, Stadtkreis und Stadtquartier",,,,
1998,,,,
 ,,,,
"Quelle: Statistik Stadt Zürich, BVS6",,,,
 ,,,,
,,,,
,Total,Schweizer/-innen,Ausländer/-innen,"Anteil ausländische
Bevölkerung (%)"
Ganze Stadt, 359 073, 255 523, 103 550,  28.8
Kreis 1, 5 867, 4 622, 1 245,  21.2
Rathaus, 3 050, 2 479,  571,  18.7
Hochschulen,  792,  588,  204,  25.8
Lindenhof,  995,  836,  159,  16.0
City, 1 030,  719,  311,  30.2
Kreis 2, 28 595, 22 354, 6 241,  21.8
Wollishofen, 15 826, 12 429, 3 397,  21.5
Leimbach, 4 619, 3 724,  895,  19.4
Enge, 8 150, 6 201, 1 949,  23.9
Kreis 3, 46 022, 30 910, 15 112,  32.8
Alt-Wiedikon, 14 975, 9 870, 5 105,  34.1
Friesenberg, 10 029, 7 968, 2 061,  20.6
Sihlfeld, 21 018, 13 072, 7 946,  37.8
Kreis 4, 27 183, 15 065, 12 118,  44.6
Werd, 3 913, 2 439, 1 474,  37.7
Langstrasse, 10 399, 5 972, 4 427,  42.6
Hard, 12 871, 6 654, 6 217,  48.3
Kreis 5, 11 043, 6 076, 4 967,  45.0
Gewerbeschule, 9 464, 5 188, 4 276,  45.2
Escher Wyss, 1 579,  888,  691,  43.8
Kreis 6, 30 173, 23 562, 6 611,  21.9
Unterstrass, 20 266, 15 793, 4 473,  22.1
Oberstrass, 9 907, 7 769, 2 138,  21.6
Kreis 7, 33 767, 27 732, 6 035,  17.9
Fluntern, 7 272, 5 837, 1 435,  19.7
Hottingen, 10 240, 8 244, 1 996,  19.5
Hirslanden, 6 702, 5 485, 1 217,  18.2
Witikon, 9 553, 8 166, 1 387,  14.5
Kreis 8, 15 364, 11 772, 3 592,  23.4
Seefeld, 5 087, 3 880, 1 207,  23.7
Mühlebach, 5 461, 4 311, 1 150,  21.1
Weinegg, 4 816, 3 581, 1 235,  25.6
Kreis 9, 44 204, 30 684, 13 520,  30.6
Albisrieden, 16 548, 12 893, 3 655,  22.1
Altstetten, 27 656, 17 791, 9 865,  35.7
Kreis 10, 35 697, 27 026, 8 671,  24.3
Höngg, 20 054, 16 606, 3 448,  17.2
Wipkingen, 15 643, 10 420, 5 223,  33.4
Kreis 11, 53 401, 36 897, 16 504,  30.9
Affoltern, 18 469, 13 437, 5 032,  27.2
Oerlikon, 17 026, 11 442, 5 584,  32.8
Seebach, 17 906, 12 018, 5 888,  32.9
Kreis 12, 27 757, 18 823, 8 934,  32.2
Saatlen, 6 568, 4 775, 1 793,  27.3
Schwamendingen-Mitte, 10 174, 6 491, 3 683,  36.2
Hirzenbach, 11 015, 7 557, 3 458,  31.4
