"Jahr","QuarSort","QuarLang","GbdArt1","GbdArt1n","AnzGeb","Rauminhalt","PersonenGT2","AnzWhg","WohnFl","PersInWhgGT2","KreisSort","KreisLang","GbdArt2","GbdArt2n","GbdArtPub","GbdArtPubName"
2008,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,56,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2009,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,56,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2010,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,56,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2011,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2012,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2013,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2014,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2015,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2016,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2017,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2018,11,"Rathaus",110.1,"Einfamilienhaus freistehend",1,265,".",1,60,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2019,11,"Rathaus",110.1,"Einfamilienhaus freistehend",2,3501,11,2,428,11,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2008,11,"Rathaus",110.2,"Einfamilienhaus angebaut",20,15298,46,20,3165,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2009,11,"Rathaus",110.2,"Einfamilienhaus angebaut",20,15298,50,20,3165,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2010,11,"Rathaus",110.2,"Einfamilienhaus angebaut",20,15298,45,20,3165,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2011,11,"Rathaus",110.2,"Einfamilienhaus angebaut",21,16136,47,21,3279,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2012,11,"Rathaus",110.2,"Einfamilienhaus angebaut",22,17903,51,22,3519,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2013,11,"Rathaus",110.2,"Einfamilienhaus angebaut",22,15196,51,22,3429,".",1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2014,11,"Rathaus",110.2,"Einfamilienhaus angebaut",22,15171,52,22,3429,51,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2015,11,"Rathaus",110.2,"Einfamilienhaus angebaut",24,15790,50,24,3723,48,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2016,11,"Rathaus",110.2,"Einfamilienhaus angebaut",24,15817,55,24,3723,55,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
2017,11,"Rathaus",110.2,"Einfamilienhaus angebaut",24,15817,53,24,3723,53,1,"Kreis 1",110,"Gebäude mit einer Wohnung",1,"Einfamilienhäuser"
