"RaumSort","RaumLang","Bildungsstand","AntBev","untAntBevKI","obAntBevKI"
10,"Kreis 1","Obligatorische Schule",8,5.5,10.4
10,"Kreis 1","Sekundarstufe II",25.7,21.8,29.6
10,"Kreis 1","Tertiärstufe",66.3,62.1,70.6
11,"Rathaus","Obligatorische Schule",8.3,5.1,11.4
11,"Rathaus","Sekundarstufe II",26.1,21,31.2
11,"Rathaus","Tertiärstufe",65.6,60.1,71.2
12,"Hochschulen","Obligatorische Schule",8.7,0,19.6
12,"Hochschulen","Sekundarstufe II",35.2,18.3,52.2
12,"Hochschulen","Tertiärstufe",56,38.6,73.5
13,"Lindenhof","Obligatorische Schule",5.5,0.9,10
13,"Lindenhof","Sekundarstufe II",22.8,14.5,31.1
13,"Lindenhof","Tertiärstufe",71.8,62.9,80.7
14,"City","Obligatorische Schule",9.9,2.5,17.4
14,"City","Sekundarstufe II",23.7,13.1,34.2
14,"City","Tertiärstufe",66.4,55,77.9
20,"Kreis 2","Obligatorische Schule",15.3,14,16.6
20,"Kreis 2","Sekundarstufe II",32.2,30.6,33.9
20,"Kreis 2","Tertiärstufe",52.5,50.7,54.3
21,"Wollishofen","Obligatorische Schule",14.6,12.9,16.3
21,"Wollishofen","Sekundarstufe II",33.5,31.2,35.8
21,"Wollishofen","Tertiärstufe",51.9,49.5,54.3
23,"Leimbach","Obligatorische Schule",24.2,20.5,27.9
23,"Leimbach","Sekundarstufe II",41,36.9,45.1
23,"Leimbach","Tertiärstufe",34.9,30.9,38.9
24,"Enge","Obligatorische Schule",11.2,9.1,13.3
24,"Enge","Sekundarstufe II",24.8,22,27.6
24,"Enge","Tertiärstufe",64,60.9,67.1
30,"Kreis 3","Obligatorische Schule",17.4,16.3,18.5
30,"Kreis 3","Sekundarstufe II",30.2,28.8,31.5
30,"Kreis 3","Tertiärstufe",52.4,50.9,53.9
31,"Alt-Wiedikon","Obligatorische Schule",13.6,11.9,15.3
31,"Alt-Wiedikon","Sekundarstufe II",26.7,24.5,28.8
31,"Alt-Wiedikon","Tertiärstufe",59.7,57.3,62.2
33,"Friesenberg","Obligatorische Schule",25.8,22.9,28.6
33,"Friesenberg","Sekundarstufe II",38.2,35.1,41.4
33,"Friesenberg","Tertiärstufe",36,32.9,39.1
34,"Sihlfeld","Obligatorische Schule",16.7,15,18.3
34,"Sihlfeld","Sekundarstufe II",29.3,27.3,31.3
34,"Sihlfeld","Tertiärstufe",54,51.8,56.2
40,"Kreis 4","Obligatorische Schule",20.6,19,22.2
