"SteuerJahr","QuarSort","QuarLang","SteuerTarifSort","SteuerTarifLang","SteuerEInkommen_p50","SteuerEinkommen_p25","SteuerEinkommen_p75"
1999,11,"Rathaus",0,"Grundtarif",38.9,18.35,64.5
1999,11,"Rathaus",1,"Verheiratetentarif",80.4,48.4,127.7
1999,11,"Rathaus",2,"Einelternfamilientarif",43,23.55,81.1
1999,12,"Hochschulen",0,"Grundtarif",31,12.4,55.2
1999,12,"Hochschulen",1,"Verheiratetentarif",86.35,51.7,176.95
1999,12,"Hochschulen",2,"Einelternfamilientarif",,,
1999,13,"Lindenhof",0,"Grundtarif",43.7,20,74.65
1999,13,"Lindenhof",1,"Verheiratetentarif",106.7,72.3,162
1999,13,"Lindenhof",2,"Einelternfamilientarif",,,
1999,14,"City",0,"Grundtarif",30.85,12.8,60.65
1999,14,"City",1,"Verheiratetentarif",69.7,43.3,93.2
1999,14,"City",2,"Einelternfamilientarif",,,
1999,21,"Wollishofen",0,"Grundtarif",36.7,19.7,55.2
1999,21,"Wollishofen",1,"Verheiratetentarif",67.75,48.35,94.9
1999,21,"Wollishofen",2,"Einelternfamilientarif",38.3,21.6,57.7
1999,23,"Leimbach",0,"Grundtarif",33.1,18.9,50.5
1999,23,"Leimbach",1,"Verheiratetentarif",66,47.5,91.1
1999,23,"Leimbach",2,"Einelternfamilientarif",41.7,24.6,57.1
1999,24,"Enge",0,"Grundtarif",42.9,20.3,67.1
1999,24,"Enge",1,"Verheiratetentarif",80.25,52.95,130.15
1999,24,"Enge",2,"Einelternfamilientarif",39.7,20.1,72
1999,31,"Alt-Wiedikon",0,"Grundtarif",36.5,20.2,54.9
1999,31,"Alt-Wiedikon",1,"Verheiratetentarif",62,40,89.2
1999,31,"Alt-Wiedikon",2,"Einelternfamilientarif",35.35,22.5,49.3
1999,33,"Friesenberg",0,"Grundtarif",26.3,12.2,43.1
1999,33,"Friesenberg",1,"Verheiratetentarif",61.5,46,79.9
1999,33,"Friesenberg",2,"Einelternfamilientarif",35.1,19.4,46.6
1999,34,"Sihlfeld",0,"Grundtarif",32.2,17.4,49.1
1999,34,"Sihlfeld",1,"Verheiratetentarif",55.1,37,74.2
1999,34,"Sihlfeld",2,"Einelternfamilientarif",30.3,15.1,43.4
1999,41,"Werd",0,"Grundtarif",33.2,15.7,53
1999,41,"Werd",1,"Verheiratetentarif",54.5,34,76.4
1999,41,"Werd",2,"Einelternfamilientarif",30.3,7.5,52.9
1999,42,"Langstrasse",0,"Grundtarif",29.25,13.7,48.1
1999,42,"Langstrasse",1,"Verheiratetentarif",51.4,33.3,73.05
1999,42,"Langstrasse",2,"Einelternfamilientarif",30,15.65,45.9
1999,44,"Hard",0,"Grundtarif",27.2,15,41.8
1999,44,"Hard",1,"Verheiratetentarif",51.4,35.8,69
1999,44,"Hard",2,"Einelternfamilientarif",30.1,13.95,42.6
1999,51,"Gewerbeschule",0,"Grundtarif",32.1,16.1,48.6
1999,51,"Gewerbeschule",1,"Verheiratetentarif",54,37.5,72.9
1999,51,"Gewerbeschule",2,"Einelternfamilientarif",30.35,16.8,46
1999,52,"Escher Wyss",0,"Grundtarif",35.5,18.2,56.8
1999,52,"Escher Wyss",1,"Verheiratetentarif",55.45,34.9,77.9
1999,52,"Escher Wyss",2,"Einelternfamilientarif",32.2,17.2,67.55
1999,61,"Unterstrass",0,"Grundtarif",36.6,19.3,56.6
1999,61,"Unterstrass",1,"Verheiratetentarif",63.8,45.5,89.7
1999,61,"Unterstrass",2,"Einelternfamilientarif",33.75,19.15,49.4
1999,63,"Oberstrass",0,"Grundtarif",41.4,19.4,66.1
1999,63,"Oberstrass",1,"Verheiratetentarif",90.95,58.5,147.7
1999,63,"Oberstrass",2,"Einelternfamilientarif",47.65,29,86.95
1999,71,"Fluntern",0,"Grundtarif",45.5,16.5,76.8
1999,71,"Fluntern",1,"Verheiratetentarif",112.5,69.9,199.8
1999,71,"Fluntern",2,"Einelternfamilientarif",49.8,30.5,87.4
1999,72,"Hottingen",0,"Grundtarif",40.9,17.9,66
1999,72,"Hottingen",1,"Verheiratetentarif",93,58.1,153.1
1999,72,"Hottingen",2,"Einelternfamilientarif",46.1,20.9,74.9
1999,73,"Hirslanden",0,"Grundtarif",38.8,18.05,60.85
1999,73,"Hirslanden",1,"Verheiratetentarif",79.5,50.1,135.6
1999,73,"Hirslanden",2,"Einelternfamilientarif",44.6,27.3,67
1999,74,"Witikon",0,"Grundtarif",42.5,20,64.5
1999,74,"Witikon",1,"Verheiratetentarif",85.1,57.3,128.8
1999,74,"Witikon",2,"Einelternfamilientarif",42.8,26.4,69.6
1999,81,"Seefeld",0,"Grundtarif",42,21,65.1
1999,81,"Seefeld",1,"Verheiratetentarif",75.6,46.9,120
1999,81,"Seefeld",2,"Einelternfamilientarif",33.85,19.05,54.3
1999,82,"Mühlebach",0,"Grundtarif",40,20,61.3
1999,82,"Mühlebach",1,"Verheiratetentarif",77.1,49.8,115.5
1999,82,"Mühlebach",2,"Einelternfamilientarif",46.6,25,63.5
1999,83,"Weinegg",0,"Grundtarif",39.8,17.3,60.8
1999,83,"Weinegg",1,"Verheiratetentarif",78.5,55.4,126.5
1999,83,"Weinegg",2,"Einelternfamilientarif",41.1,27.1,61.5
1999,91,"Albisrieden",0,"Grundtarif",34.8,19.9,50.8
1999,91,"Albisrieden",1,"Verheiratetentarif",61,45.6,83.9
1999,91,"Albisrieden",2,"Einelternfamilientarif",35.55,20.6,49.4
1999,92,"Altstetten",0,"Grundtarif",33.4,18.25,49.4
1999,92,"Altstetten",1,"Verheiratetentarif",58.2,43.05,78.3
1999,92,"Altstetten",2,"Einelternfamilientarif",32.4,16.2,45.9
1999,101,"Höngg",0,"Grundtarif",42,21.4,61.8
1999,101,"Höngg",1,"Verheiratetentarif",74.7,54,106.3
1999,101,"Höngg",2,"Einelternfamilientarif",39.4,23.2,57
1999,102,"Wipkingen",0,"Grundtarif",34.2,18.05,52.2
1999,102,"Wipkingen",1,"Verheiratetentarif",59.35,41.8,81.75
1999,102,"Wipkingen",2,"Einelternfamilientarif",35.3,18.25,49.05
1999,111,"Affoltern",0,"Grundtarif",32.7,17.5,48.6
1999,111,"Affoltern",1,"Verheiratetentarif",60.6,44.3,81.2
1999,111,"Affoltern",2,"Einelternfamilientarif",33.5,18.9,47.35
1999,115,"Oerlikon",0,"Grundtarif",36.9,20,53.9
1999,115,"Oerlikon",1,"Verheiratetentarif",63.6,42.7,89.2
1999,115,"Oerlikon",2,"Einelternfamilientarif",37.05,23.5,54.7
1999,119,"Seebach",0,"Grundtarif",31.9,17.5,48.2
1999,119,"Seebach",1,"Verheiratetentarif",56.7,40,77.7
1999,119,"Seebach",2,"Einelternfamilientarif",31.9,16.3,45.8
1999,121,"Saatlen",0,"Grundtarif",27.25,15,41.5
1999,121,"Saatlen",1,"Verheiratetentarif",53.6,39.3,69.6
1999,121,"Saatlen",2,"Einelternfamilientarif",28.3,14.15,42.25
1999,122,"Schwamendingen-Mitte",0,"Grundtarif",30,17.3,45
1999,122,"Schwamendingen-Mitte",1,"Verheiratetentarif",56.7,39.7,75.6
1999,122,"Schwamendingen-Mitte",2,"Einelternfamilientarif",29.8,12.8,47.8
1999,123,"Hirzenbach",0,"Grundtarif",26.6,14.7,42
1999,123,"Hirzenbach",1,"Verheiratetentarif",55,40.4,70.9
1999,123,"Hirzenbach",2,"Einelternfamilientarif",32.1,17.3,40.2
2000,11,"Rathaus",0,"Grundtarif",42.1,18.6,69.2
2000,11,"Rathaus",1,"Verheiratetentarif",85.5,51.8,131.6
2000,11,"Rathaus",2,"Einelternfamilientarif",51,26.4,93.4
2000,12,"Hochschulen",0,"Grundtarif",32.1,13.3,59.1
2000,12,"Hochschulen",1,"Verheiratetentarif",96.65,53.35,188
2000,12,"Hochschulen",2,"Einelternfamilientarif",,,
2000,13,"Lindenhof",0,"Grundtarif",43.9,21.1,75.3
2000,13,"Lindenhof",1,"Verheiratetentarif",114.95,72.6,200.7
2000,13,"Lindenhof",2,"Einelternfamilientarif",,,
2000,14,"City",0,"Grundtarif",36.1,13.1,67.6
2000,14,"City",1,"Verheiratetentarif",75.4,49.7,101.6
2000,14,"City",2,"Einelternfamilientarif",,,
2000,21,"Wollishofen",0,"Grundtarif",37.6,19.9,57.9
2000,21,"Wollishofen",1,"Verheiratetentarif",69.7,51,99.9
2000,21,"Wollishofen",2,"Einelternfamilientarif",38,22.8,57.7
2000,23,"Leimbach",0,"Grundtarif",32.75,18.3,51.9
2000,23,"Leimbach",1,"Verheiratetentarif",69.4,48.5,93.4
2000,23,"Leimbach",2,"Einelternfamilientarif",40.8,24.4,59.3
2000,24,"Enge",0,"Grundtarif",45.5,21.4,70.5
2000,24,"Enge",1,"Verheiratetentarif",86.7,55.2,141.3
2000,24,"Enge",2,"Einelternfamilientarif",44.9,20.1,72.5
2000,31,"Alt-Wiedikon",0,"Grundtarif",38.8,21,57.2
2000,31,"Alt-Wiedikon",1,"Verheiratetentarif",64.35,42.6,92
2000,31,"Alt-Wiedikon",2,"Einelternfamilientarif",38.3,22.7,55.7
2000,33,"Friesenberg",0,"Grundtarif",27.85,12.05,44.5
2000,33,"Friesenberg",1,"Verheiratetentarif",63.35,47.2,82.3
2000,33,"Friesenberg",2,"Einelternfamilientarif",36.3,19.7,49
2000,34,"Sihlfeld",0,"Grundtarif",34.05,18.2,51.4
2000,34,"Sihlfeld",1,"Verheiratetentarif",56.4,38.2,75.3
2000,34,"Sihlfeld",2,"Einelternfamilientarif",30.55,14.7,43.5
2000,41,"Werd",0,"Grundtarif",35.3,16.9,55.5
2000,41,"Werd",1,"Verheiratetentarif",56.2,35.8,80.8
2000,41,"Werd",2,"Einelternfamilientarif",29.85,10.4,48.9
2000,42,"Langstrasse",0,"Grundtarif",31.3,15,50.2
2000,42,"Langstrasse",1,"Verheiratetentarif",53,34.7,76
2000,42,"Langstrasse",2,"Einelternfamilientarif",33.8,14.3,47.8
2000,44,"Hard",0,"Grundtarif",28.1,15.5,43.19
2000,44,"Hard",1,"Verheiratetentarif",53.4,37.3,70
2000,44,"Hard",2,"Einelternfamilientarif",31.2,14.4,44.3
2000,51,"Gewerbeschule",0,"Grundtarif",34.55,17.7,51.7
2000,51,"Gewerbeschule",1,"Verheiratetentarif",56,40.1,75.8
2000,51,"Gewerbeschule",2,"Einelternfamilientarif",33.8,21.7,45
2000,52,"Escher Wyss",0,"Grundtarif",40.35,20.6,62.2
2000,52,"Escher Wyss",1,"Verheiratetentarif",59.1,40.4,80.7
2000,52,"Escher Wyss",2,"Einelternfamilientarif",33.5,15.2,49.75
2000,61,"Unterstrass",0,"Grundtarif",37.8,20,58.2
2000,61,"Unterstrass",1,"Verheiratetentarif",66.2,46.6,93.9
2000,61,"Unterstrass",2,"Einelternfamilientarif",37.3,22.1,52.1
2000,63,"Oberstrass",0,"Grundtarif",43.4,20.6,70
2000,63,"Oberstrass",1,"Verheiratetentarif",96.7,64.7,160.4
2000,63,"Oberstrass",2,"Einelternfamilientarif",50.3,26.8,92.25
2000,71,"Fluntern",0,"Grundtarif",47.8,17,79.4
2000,71,"Fluntern",1,"Verheiratetentarif",126.8,75.9,224.4
2000,71,"Fluntern",2,"Einelternfamilientarif",55.7,31,101.7
2000,72,"Hottingen",0,"Grundtarif",42.45,18.55,70.62
2000,72,"Hottingen",1,"Verheiratetentarif",101.4,61.7,171
2000,72,"Hottingen",2,"Einelternfamilientarif",51.7,28.7,89.3
2000,73,"Hirslanden",0,"Grundtarif",39.95,19.1,63.7
2000,73,"Hirslanden",1,"Verheiratetentarif",86.7,55.4,140.85
2000,73,"Hirslanden",2,"Einelternfamilientarif",47.2,26.9,67.8
2000,74,"Witikon",0,"Grundtarif",44.35,20.7,67
2000,74,"Witikon",1,"Verheiratetentarif",88.4,57.6,140.6
2000,74,"Witikon",2,"Einelternfamilientarif",47.5,29.5,68.9
2000,81,"Seefeld",0,"Grundtarif",45.7,23.4,70
2000,81,"Seefeld",1,"Verheiratetentarif",82.9,50.4,128.6
2000,81,"Seefeld",2,"Einelternfamilientarif",39.95,19.15,62.4
2000,82,"Mühlebach",0,"Grundtarif",42.7,20.8,65.45
2000,82,"Mühlebach",1,"Verheiratetentarif",83,52.2,121.8
2000,82,"Mühlebach",2,"Einelternfamilientarif",44.9,25.3,72.4
2000,83,"Weinegg",0,"Grundtarif",41.45,19.6,63.2
2000,83,"Weinegg",1,"Verheiratetentarif",84,60,134.4
2000,83,"Weinegg",2,"Einelternfamilientarif",43.85,27.2,58.7
2000,91,"Albisrieden",0,"Grundtarif",35.65,20.3,52.7
2000,91,"Albisrieden",1,"Verheiratetentarif",63.3,46.5,87.8
2000,91,"Albisrieden",2,"Einelternfamilientarif",36.05,23,50.85
2000,92,"Altstetten",0,"Grundtarif",34.7,19.1,51.1
2000,92,"Altstetten",1,"Verheiratetentarif",60.3,44.8,81.2
2000,92,"Altstetten",2,"Einelternfamilientarif",32.7,15,46
2000,101,"Höngg",0,"Grundtarif",43.3,22.3,64.3
2000,101,"Höngg",1,"Verheiratetentarif",77.7,55.8,110.1
2000,101,"Höngg",2,"Einelternfamilientarif",40.85,25,58.3
2000,102,"Wipkingen",0,"Grundtarif",36.8,18.9,55.1
2000,102,"Wipkingen",1,"Verheiratetentarif",62.05,44.1,86
2000,102,"Wipkingen",2,"Einelternfamilientarif",37,20.2,52.2
2000,111,"Affoltern",0,"Grundtarif",33.6,17.8,49.9
2000,111,"Affoltern",1,"Verheiratetentarif",62.9,45.6,83.4
2000,111,"Affoltern",2,"Einelternfamilientarif",34.7,21.9,49.5
2000,115,"Oerlikon",0,"Grundtarif",38.2,20.2,56
2000,115,"Oerlikon",1,"Verheiratetentarif",65.6,45.3,93
2000,115,"Oerlikon",2,"Einelternfamilientarif",39.3,21.5,55.3
2000,119,"Seebach",0,"Grundtarif",33.1,17.8,49.7
2000,119,"Seebach",1,"Verheiratetentarif",58.6,41.5,79.7
2000,119,"Seebach",2,"Einelternfamilientarif",34.2,18.2,47.6
2000,121,"Saatlen",0,"Grundtarif",29,15.3,42.8
2000,121,"Saatlen",1,"Verheiratetentarif",54.9,40.3,72.1
2000,121,"Saatlen",2,"Einelternfamilientarif",29.8,17.8,44.1
2000,122,"Schwamendingen-Mitte",0,"Grundtarif",31.6,18.1,46.8
2000,122,"Schwamendingen-Mitte",1,"Verheiratetentarif",57.9,40.2,76.95
2000,122,"Schwamendingen-Mitte",2,"Einelternfamilientarif",30,12.5,43.5
2000,123,"Hirzenbach",0,"Grundtarif",28,15.15,42.45
2000,123,"Hirzenbach",1,"Verheiratetentarif",56.3,41.5,73.1
2000,123,"Hirzenbach",2,"Einelternfamilientarif",32.8,15.4,44.6
2001,11,"Rathaus",0,"Grundtarif",44.8,19,72.3
2001,11,"Rathaus",1,"Verheiratetentarif",93.05,52.1,139.2
2001,11,"Rathaus",2,"Einelternfamilientarif",50.5,26.85,104.95
2001,12,"Hochschulen",0,"Grundtarif",35.1,12.1,62.5
2001,12,"Hochschulen",1,"Verheiratetentarif",99.65,47,191.3
2001,12,"Hochschulen",2,"Einelternfamilientarif",,,
2001,13,"Lindenhof",0,"Grundtarif",47.95,21,84.7
2001,13,"Lindenhof",1,"Verheiratetentarif",128.5,84.1,195
2001,13,"Lindenhof",2,"Einelternfamilientarif",,,
2001,14,"City",0,"Grundtarif",34.6,11.65,63.6
2001,14,"City",1,"Verheiratetentarif",76.6,47.4,103.7
2001,14,"City",2,"Einelternfamilientarif",,,
2001,21,"Wollishofen",0,"Grundtarif",39.5,20.5,60.2
2001,21,"Wollishofen",1,"Verheiratetentarif",73.25,52.8,105.8
2001,21,"Wollishofen",2,"Einelternfamilientarif",40,25,59.48
2001,23,"Leimbach",0,"Grundtarif",34.8,19.5,53.4
2001,23,"Leimbach",1,"Verheiratetentarif",70.2,48.8,97.5
2001,23,"Leimbach",2,"Einelternfamilientarif",46.9,31.9,62.5
2001,24,"Enge",0,"Grundtarif",47.1,22.3,75.65
2001,24,"Enge",1,"Verheiratetentarif",92.4,58.75,153.05
2001,24,"Enge",2,"Einelternfamilientarif",45,20,84.8
2001,31,"Alt-Wiedikon",0,"Grundtarif",39.7,21.8,60
2001,31,"Alt-Wiedikon",1,"Verheiratetentarif",67,44.2,97.2
2001,31,"Alt-Wiedikon",2,"Einelternfamilientarif",41.5,23.6,60.2
