"SteuerJahr","QuarSort","QuarLang","SteuerTarifSort","SteuerTarifLang","SteuerVermoegen_p50","SteuerVermoegen_p25","SteuerVermoegen_p75"
1999,11,"Rathaus",0,"Grundtarif",19,0,149
1999,11,"Rathaus",1,"Verheiratetentarif",191,30,792
1999,11,"Rathaus",2,"Einelternfamilientarif",22.5,0,395
1999,12,"Hochschulen",0,"Grundtarif",28,0,186
1999,12,"Hochschulen",1,"Verheiratetentarif",249,37,724.5
1999,12,"Hochschulen",2,"Einelternfamilientarif",,,
1999,13,"Lindenhof",0,"Grundtarif",57,2,327.5
1999,13,"Lindenhof",1,"Verheiratetentarif",307,32,1480
1999,13,"Lindenhof",2,"Einelternfamilientarif",,,
1999,14,"City",0,"Grundtarif",12,0,95.5
1999,14,"City",1,"Verheiratetentarif",45,1,268
1999,14,"City",2,"Einelternfamilientarif",,,
1999,21,"Wollishofen",0,"Grundtarif",39,4,184
1999,21,"Wollishofen",1,"Verheiratetentarif",138.5,35,427.5
1999,21,"Wollishofen",2,"Einelternfamilientarif",6,0,53
1999,23,"Leimbach",0,"Grundtarif",31,2,138
1999,23,"Leimbach",1,"Verheiratetentarif",120,25,370
1999,23,"Leimbach",2,"Einelternfamilientarif",10,0,55
1999,24,"Enge",0,"Grundtarif",37,1,213
1999,24,"Enge",1,"Verheiratetentarif",200.5,33.5,731
1999,24,"Enge",2,"Einelternfamilientarif",9,0,99
1999,31,"Alt-Wiedikon",0,"Grundtarif",22,0,113
1999,31,"Alt-Wiedikon",1,"Verheiratetentarif",63,0,266
1999,31,"Alt-Wiedikon",2,"Einelternfamilientarif",0.5,0,38
1999,33,"Friesenberg",0,"Grundtarif",20,0,96
1999,33,"Friesenberg",1,"Verheiratetentarif",77,12,207
1999,33,"Friesenberg",2,"Einelternfamilientarif",2,0,39
1999,34,"Sihlfeld",0,"Grundtarif",14,0,85
1999,34,"Sihlfeld",1,"Verheiratetentarif",39,0,186
1999,34,"Sihlfeld",2,"Einelternfamilientarif",0,0,22
1999,41,"Werd",0,"Grundtarif",10,0,67
1999,41,"Werd",1,"Verheiratetentarif",15,0,149
1999,41,"Werd",2,"Einelternfamilientarif",0,0,30
1999,42,"Langstrasse",0,"Grundtarif",2,0,39
1999,42,"Langstrasse",1,"Verheiratetentarif",5,0,95
1999,42,"Langstrasse",2,"Einelternfamilientarif",0,0,9
1999,44,"Hard",0,"Grundtarif",8,0,59
1999,44,"Hard",1,"Verheiratetentarif",9,0,94
1999,44,"Hard",2,"Einelternfamilientarif",0,0,12
1999,51,"Gewerbeschule",0,"Grundtarif",6,0,50
1999,51,"Gewerbeschule",1,"Verheiratetentarif",13,0,103
1999,51,"Gewerbeschule",2,"Einelternfamilientarif",0,0,24
1999,52,"Escher Wyss",0,"Grundtarif",9,0,67
1999,52,"Escher Wyss",1,"Verheiratetentarif",40.5,0,211
1999,52,"Escher Wyss",2,"Einelternfamilientarif",9.5,0,88
1999,61,"Unterstrass",0,"Grundtarif",35,2,151
1999,61,"Unterstrass",1,"Verheiratetentarif",116,20,342
1999,61,"Unterstrass",2,"Einelternfamilientarif",10,0,64.5
1999,63,"Oberstrass",0,"Grundtarif",46,4,221
1999,63,"Oberstrass",1,"Verheiratetentarif",246,48,876
1999,63,"Oberstrass",2,"Einelternfamilientarif",39.5,2,203.5
1999,71,"Fluntern",0,"Grundtarif",69,7,428
1999,71,"Fluntern",1,"Verheiratetentarif",473,102,1766
1999,71,"Fluntern",2,"Einelternfamilientarif",80,5,351
1999,72,"Hottingen",0,"Grundtarif",48,4,274
1999,72,"Hottingen",1,"Verheiratetentarif",288,61,1098
1999,72,"Hottingen",2,"Einelternfamilientarif",30,0,156
1999,73,"Hirslanden",0,"Grundtarif",44,6,211
1999,73,"Hirslanden",1,"Verheiratetentarif",220,51,807
1999,73,"Hirslanden",2,"Einelternfamilientarif",23,0,105
